regcode,provcode,citycode,cityname,nscb_city_code,nscb_city_name,addedby,UserLevelID,dateupdated,status
01,0133,013310,LUNA,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013311,NAGUILIAN,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013312,PUGO,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013313,ROSARIO,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013314,CITY OF SAN FERNANDO (Capital),NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013315,SAN GABRIEL,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013316,SAN JUAN,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013317,SANTO TOMAS,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013318,SANTOL,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013319,SUDIPEN,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013320,TUBAO,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015501,AGNO,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015502,AGUILAR,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015503,CITY OF ALAMINOS,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015504,ALCALA,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015505,ANDA,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015506,ASINGAN,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015507,BALUNGAO,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015508,BANI,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015509,BASISTA,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015510,BAUTISTA,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015511,BAYAMBANG,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015512,BINALONAN,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015513,BINMALEY,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015514,BOLINAO,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015515,BUGALLON,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015516,BURGOS,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015517,CALASIAO,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015518,DAGUPAN CITY,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015519,DASOL,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015520,INFANTA,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015521,LABRADOR,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015522,LINGAYEN (Capital),NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015523,MABINI,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015524,MALASIQUI,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015525,MANAOAG,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015526,MANGALDAN,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015527,MANGATAREM,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015528,MAPANDAN,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015529,NATIVIDAD,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015530,POZZORUBIO,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015531,ROSALES,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015532,SAN CARLOS CITY,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015533,SAN FABIAN,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015534,SAN JACINTO,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015535,SAN MANUEL,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015536,SAN NICOLAS,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015537,SAN QUINTIN,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015538,SANTA BARBARA,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015539,SANTA MARIA,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015540,SANTO TOMAS,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015541,SISON,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015542,SUAL,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015543,TAYUG,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015544,UMINGAN,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015545,URBIZTONDO,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015546,CITY OF URDANETA,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015547,VILLASIS,NULL,NULL,NULL,NULL,NULL,NULL
01,0155,015548,LAOAC,NULL,NULL,NULL,NULL,NULL,NULL
02,0209,020901,BASCO (Capital),NULL,NULL,NULL,NULL,NULL,NULL
02,0209,020902,ITBAYAT,NULL,NULL,NULL,NULL,NULL,NULL
02,0209,020903,IVANA,NULL,NULL,NULL,NULL,NULL,NULL
02,0209,020904,MAHATAO,NULL,NULL,NULL,NULL,NULL,NULL
02,0209,020905,SABTANG,NULL,NULL,NULL,NULL,NULL,NULL
02,0209,020906,UYUGAN,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021501,ABULUG,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021502,ALCALA,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021503,ALLACAPAN,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021504,AMULUNG,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021505,APARRI,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021506,BAGGAO,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021507,BALLESTEROS,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021508,BUGUEY,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021509,CALAYAN,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021510,CAMALANIUGAN,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021511,CLAVERIA,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021512,ENRILE,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021513,GATTARAN,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021514,GONZAGA,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021515,IGUIG,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021516,LAL-LO,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021517,LASAM,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021518,PAMPLONA,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021519,PEABLANCA,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021520,PIAT,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021521,RIZAL,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021522,SANCHEZ-MIRA,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021523,SANTA ANA,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021524,SANTA PRAXEDES,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021525,SANTA TERESITA,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021526,SANTO NIO (FAIRE),NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021527,SOLANA,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021528,TUAO,NULL,NULL,NULL,NULL,NULL,NULL
02,0215,021529,TUGUEGARAO CITY(Capital),NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023101,ALICIA,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023102,ANGADANAN,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023103,AURORA,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023104,BENITO SOLIVEN,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023105,BURGOS,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023106,CABAGAN,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023107,CABATUAN,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023108,CITY OF CAUAYAN,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023109,CORDON,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023110,DINAPIGUE,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023111,DIVILICAN,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023112,ECHAGUE,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023113,GAMU,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023114,ILAGAN (Capital),NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023115,JONES,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023116,LUNA,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023117,MACONACON,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023118,DELFIN ALBANO (MAGSAYSAY),NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023119,MALLIG,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023120,NAGUILIAN,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023121,PALANAN,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023122,QUEZON,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023123,QUIRINO,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023124,RAMON,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023125,REINA MERCEDES,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023126,ROXAS,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023127,SAN AGUSTIN,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023128,SAN GUILLERMO,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023129,SAN ISIDRO,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023130,SAN MANUEL,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023131,SAN MARIANO,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023132,SAN MATEO,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023133,SAN PABLO,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023134,SANTA MARIA,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023135,CITY OF SANTIAGO,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023136,SANTO TOMAS,NULL,NULL,NULL,NULL,NULL,NULL
02,0231,023137,TUMAUINI,NULL,NULL,NULL,NULL,NULL,NULL
02,0250,025001,AMBAGUIO,NULL,NULL,NULL,NULL,NULL,NULL
02,0250,025002,ARITAO,NULL,NULL,NULL,NULL,NULL,NULL
02,0250,025003,BAGABAG,NULL,NULL,NULL,NULL,NULL,NULL
02,0250,025004,BAMBANG,NULL,NULL,NULL,NULL,NULL,NULL
02,0250,025005,BAYOMBONG (Capital),NULL,NULL,NULL,NULL,NULL,NULL
02,0250,025006,DIADI,NULL,NULL,NULL,NULL,NULL,NULL
02,0250,025007,DUPAX DEL NORTE,NULL,NULL,NULL,NULL,NULL,NULL
02,0250,025008,DUPAX DEL SUR,NULL,NULL,NULL,NULL,NULL,NULL
02,0250,025009,KASIBU,NULL,NULL,NULL,NULL,NULL,NULL
02,0250,025010,KAYAPA,NULL,NULL,NULL,NULL,NULL,NULL
02,0250,025011,QUEZON,NULL,NULL,NULL,NULL,NULL,NULL
02,0250,025012,SANTA FE,NULL,NULL,NULL,NULL,NULL,NULL
02,0250,025013,SOLANO,NULL,NULL,NULL,NULL,NULL,NULL
02,0250,025014,VILLAVERDE,NULL,NULL,NULL,NULL,NULL,NULL
02,0250,025015,ALFONSO CASTAEDA,NULL,NULL,NULL,NULL,NULL,NULL
02,0257,025701,AGLIPAY,NULL,NULL,NULL,NULL,NULL,NULL
02,0257,025702,CABARROGUIS (Capital),NULL,NULL,NULL,NULL,NULL,NULL
02,0257,025703,DIFFUN,NULL,NULL,NULL,NULL,NULL,NULL
02,0257,025704,MADDELA,NULL,NULL,NULL,NULL,NULL,NULL
02,0257,025705,SAGUDAY,NULL,NULL,NULL,NULL,NULL,NULL
02,0257,025706,NAGTIPUNAN,NULL,NULL,NULL,NULL,NULL,NULL
03,0308,030801,ABUCAY,NULL,NULL,NULL,NULL,NULL,NULL
03,0308,030802,BAGAC,NULL,NULL,NULL,NULL,NULL,NULL
03,0308,030803,CITY OF BALANGA (Capital),NULL,NULL,NULL,NULL,NULL,NULL
03,0308,030804,DINALUPIHAN,NULL,NULL,NULL,NULL,NULL,NULL
03,0308,030805,HERMOSA,NULL,NULL,NULL,NULL,NULL,NULL
03,0308,030806,LIMAY,NULL,NULL,NULL,NULL,NULL,NULL
03,0308,030807,MARIVELES,NULL,NULL,NULL,NULL,NULL,NULL
03,0308,030808,MORONG,NULL,NULL,NULL,NULL,NULL,NULL
03,0308,030809,ORANI,NULL,NULL,NULL,NULL,NULL,NULL
03,0308,030810,ORION,NULL,NULL,NULL,NULL,NULL,NULL
03,0308,030811,PILAR,NULL,NULL,NULL,NULL,NULL,NULL
03,0308,030812,SAMAL,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031401,ANGAT,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031402,BALAGTAS (BIGAA),NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031403,BALIUAG,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031404,BOCAUE,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031405,BULACAN,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031406,BUSTOS,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031407,CALUMPIT,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031408,GUIGUINTO,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031409,HAGONOY,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031410,CITY OF MALOLOS  (Capital),NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031411,MARILAO,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031412,MEYCAUAYAN,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031413,NORZAGARAY,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031414,OBANDO,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031415,PANDI,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031416,PAOMBONG,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031417,PLARIDEL,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031418,PULILAN,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031419,SAN ILDEFONSO,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031420,CITY OF SAN JOSE DEL MONTE,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031421,SAN MIGUEL,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031422,SAN RAFAEL,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031423,SANTA MARIA,NULL,NULL,NULL,NULL,NULL,NULL
03,0314,031424,DOA REMEDIOS TRINIDAD,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034901,ALIAGA,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034902,BONGABON,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034903,CABANATUAN CITY,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034904,CABIAO,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034905,CARRANGLAN,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034906,CUYAPO,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034907,GABALDON (BITULOK & SABANI),NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034908,CITY OF GAPAN,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034909,GENERAL MAMERTO NATIVIDAD,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034910,GENERAL TINIO (PAPAYA),NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034911,GUIMBA,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034912,JAEN,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034913,LAUR,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034914,LICAB,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034915,LLANERA,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034916,LUPAO,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034917,SCIENCE CITY OF MUOZ,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034918,NAMPICUAN,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034919,PALAYAN CITY (Capital),NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034920,PANTABANGAN,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034921,PEARANDA,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034922,QUEZON,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034923,RIZAL,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034924,SAN ANTONIO,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034925,SAN ISIDRO,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034926,SAN JOSE CITY,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034927,SAN LEONARDO,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034928,SANTA ROSA,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034929,SANTO DOMINGO,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034930,TALAVERA,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034931,TALUGTUG,NULL,NULL,NULL,NULL,NULL,NULL
03,0349,034932,ZARAGOZA,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035401,ANGELES CITY,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035402,APALIT,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035403,ARAYAT,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035404,BACOLOR,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035405,CANDABA,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035406,FLORIDABLANCA,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035407,GUAGUA,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035408,LUBAO,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035409,MABALACAT,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035410,MACABEBE,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035411,MAGALANG,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035412,MASANTOL,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035413,MEXICO,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035414,MINALIN,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035415,PORAC,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035416,CITY OF SAN FERNANDO (Capital),NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035417,SAN LUIS,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035418,SAN SIMON,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035419,SANTA ANA,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035420,SANTA RITA,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035421,SANTO TOMAS,NULL,NULL,NULL,NULL,NULL,NULL
03,0354,035422,SASMUAN (SEXMOAN),NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036901,ANAO,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036902,BAMBAN,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036903,CAMILING,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036904,CAPAS,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036905,CONCEPCION,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036906,GERONA,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036907,LA PAZ,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036908,MAYANTOC,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036909,MONCADA,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036910,PANIQUI,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036911,PURA,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036912,RAMOS,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036913,SAN CLEMENTE,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036914,SAN MANUEL,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036915,SANTA IGNACIA,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036916,CITY OF TARLAC (Capital),NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036917,VICTORIA,NULL,NULL,NULL,NULL,NULL,NULL
03,0369,036918,SAN JOSE,NULL,NULL,NULL,NULL,NULL,NULL
03,0371,037101,BOTOLAN,NULL,NULL,NULL,NULL,NULL,NULL
03,0371,037102,CABANGAN,NULL,NULL,NULL,NULL,NULL,NULL
03,0371,037103,CANDELARIA,NULL,NULL,NULL,NULL,NULL,NULL
03,0371,037104,CASTILLEJOS,NULL,NULL,NULL,NULL,NULL,NULL
03,0371,037105,IBA (Capital),NULL,NULL,NULL,NULL,NULL,NULL
03,0371,037106,MASINLOC,NULL,NULL,NULL,NULL,NULL,NULL
03,0371,037107,OLONGAPO CITY,NULL,NULL,NULL,NULL,NULL,NULL
03,0371,037108,PALAUIG,NULL,NULL,NULL,NULL,NULL,NULL
03,0371,037109,SAN ANTONIO,NULL,NULL,NULL,NULL,NULL,NULL
03,0371,037110,SAN FELIPE,NULL,NULL,NULL,NULL,NULL,NULL
03,0371,037111,SAN MARCELINO,NULL,NULL,NULL,NULL,NULL,NULL
03,0371,037112,SAN NARCISO,NULL,NULL,NULL,NULL,NULL,NULL
03,0371,037113,SANTA CRUZ,NULL,NULL,NULL,NULL,NULL,NULL
03,0371,037114,SUBIC,NULL,NULL,NULL,NULL,NULL,NULL
03,0377,037701,BALER  (Capital),NULL,NULL,NULL,NULL,NULL,NULL
03,0377,037702,CASIGURAN,NULL,NULL,NULL,NULL,NULL,NULL
03,0377,037703,DILASAG,NULL,NULL,NULL,NULL,NULL,NULL
03,0377,037704,DINALUNGAN,NULL,NULL,NULL,NULL,NULL,NULL
03,0377,037705,DINGALAN,NULL,NULL,NULL,NULL,NULL,NULL
